Description,Supplier,URL,Entity,Expense Type,Transaction Number,Amount,Expense Area,Date,Departmental Family
Grassroots Grants - management fee,COMMUNITY DEVELOPMENT FOUNDATION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,GRANT FUND MANAGEMENT SERVICES,3000011071,"132,358.49",ERG - OFFICE FOR CIVIL SOCIETY,07/07/2010,Cabinet Office
Access to Volunteering - management fee,DIGITAL PUBLIC,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,GRANT FUND MANAGEMENT SERVICES,3000011072,"34,299.99",ERG - OFFICE FOR CIVIL SOCIETY,07/07/2010,Cabinet Office
Social enterprise questions in the Labour Force Survey,OFFICE OF NATIONAL STATISTICS 18199,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Resource Grants to Central Government Bodies,100884,"108,848.00",ERG - OFFICE FOR CIVIL SOCIETY,07/07/2010,Cabinet Office
Data warehouse system costs,IBM UNITED KINGDOM L,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,IT Maint & Repairs,PINDOH 29795,"32,399.30",Governance & Assurance,07/07/2010,Cabinet Office
Treasury Solicitors legal Advice Pension Policy,TSOL ,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Supplies and Services,1000259,"50,000.00",SCHEME MANAGEMENT EXECUTIVE,07/07/2010,Cabinet Office
Access to Volunteering - management fee,DIGITAL PUBLIC,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,GRANT FUND MANAGEMENT SERVICES,3000011093,"26,694.40",ERG - OFFICE FOR CIVIL SOCIETY,08/07/2010,Cabinet Office
Barclay lodge Card Charges ,BARCLAYCARD BANK PLC,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Supplies and Services,3000011092,"35,120.55",ESTATE MANAGEMENT,08/07/2010,Cabinet Office
Ecovert Facilities Management KPI Performance Mechanism Charge (Contract Refund),ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Accommodation and Utilities,3000011095,"-41,150.55",ESTATE MANAGEMENT,08/07/2010,Cabinet Office
Facilities Management : 70 Whitehall Refurbishment Project Phrase 2,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Freehold Non Residential Buildings,3000011095,"71,714.22",ESTATE MANAGEMENT,08/07/2010,Cabinet Office
Consultancy fees for review of projects for the Major Projects Review Group,CAPITA SYMONDS (FORMERLY INVENTURES LTD),http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,MPRG Consultants Spend,85813,"29,022.50",ERG -  OGC,09/07/2010,Cabinet Office
"Monthly payment for contract for support, maintenance and development of e-PIMS, the government property database  ",CORPORATE DOCUMENT SERVICES LIMITED,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,IT support and maintenance recoverable,85739,"160,579.79",ERG -  OGC,09/07/2010,Cabinet Office
First Climate markets Carbon offsetting costs,FIRST CLIMATE MARKETS,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,"Travel, Subsiatence and Hospitality",3000034,"72,864.39",CENTRAL BUDGETS,12/07/2010,Cabinet Office
Grant-in-aid payment to Capacitybuilders,CAPACITY BUILDERS UK LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Grants-in-Aid to NDPB's,3000011126,"400,000.00",ERG - OFFICE FOR CIVIL SOCIETY,12/07/2010,Cabinet Office
Grassroots Grants - management fee,COMMUNITY DEVELOPMENT FOUNDATION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,GRANT FUND MANAGEMENT SERVICES,3000011128,"55,727.36",ERG - OFFICE FOR CIVIL SOCIETY,12/07/2010,Cabinet Office
Payment re Community Stocks + Bond Project -social enterprise action research,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Resource Grants to Central Government Bodies,3000011129,"45,000.00",ERG - OFFICE FOR CIVIL SOCIETY,12/07/2010,Cabinet Office
2nd instalment 2010/2011 Social Enterprise Mark Project grant,SOCIAL ENTERPRISE MARK COMPANY,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Resource Grants to Private Sector,3000011133,"37,500.00",ERG - OFFICE FOR CIVIL SOCIETY,12/07/2010,Cabinet Office
Facilities Management : 70 Whitehall Refurbishment Project Phrase 2 ,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Assets Under Construction,3000011130,"27,328.08",ESTATE MANAGEMENT,12/07/2010,Cabinet Office
Civil Service Commissioner Recruitment Campaign 3rd of 3 Appointments,RUSSELL REYNOLDS ASSOCIATES,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Other Staff Related Costs,3000011132,"30,800.00",INDEPENDENT OFFICES,12/07/2010,Cabinet Office
Accommodation charges,CARILLION AMBS LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Accommodation and Utilities,3000011153,"39,202.20",EMERGENCY PLANNING COLLEGE,13/07/2010,Cabinet Office
Futurbuilders Fund management fee,FUTUREBUILDERS ENGLAND,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,GRANT FUND MANAGEMENT SERVICES,3000011165,"548,992.55",ERG - OFFICE FOR CIVIL SOCIETY,13/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,Call Charges Std,PINMTS 17784,"82,044.57",Network Services,13/07/2010,Cabinet Office
Quarterly rental charge for Government Secure Intranet link and services,CABLE & WIRELESS PLC,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,IT Costs,3000011151,"27,602.10",PRIME MINISTERS OFFICE,13/07/2010,Cabinet Office
Whitehall heating systems management,COFELY,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,WDHS Maint & Rep,PINDOH 29797,"37,223.00",WDHS,14/07/2010,Cabinet Office
Whitehall heating systems management,COFELY,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,WDHS Maint & Rep,PINDOH 30187,"60,245.07",WDHS,14/07/2010,Cabinet Office
Whitehall heating systems management,COFELY,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,WSDS Maint & Rep,PINDOH 30189,"37,589.81",WSDS,14/07/2010,Cabinet Office
Specialists working on strategic supplier engagement activity supporting Government's key telecommunications reform & efficiency programmes,ADVALUS LIMITED,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Consultants - Mgt - Non Advisory,85980,"25,409.38",ERG -  OGC,15/07/2010,Cabinet Office
1st instalment 2010/2011 Strategic grant,CEMVO,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Resource Grants to Private Sector,1000266,"91,984.00",ERG - OFFICE FOR CIVIL SOCIETY,15/07/2010,Cabinet Office
Interim support in the development of centralised procurement of Office Solutions,KPMG LLP,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Consultants-Management-Staff Substitution,85964,"50,109.65",ERG - OGC,15/07/2010,Cabinet Office
Facilities Management : 70 Whitehall Refurbishment Project Phrase 2 Consultancy Fees,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Assets Under Construction,3000011231,"185,487.94",ESTATE MANAGEMENT,15/07/2010,Cabinet Office
Facilities management ,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Accommodation and Utilities,3000011231,"37,808.14",PRIME MINISTERS OFFICE,15/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,Peripherals,PINMTS 17905,"30,848.50",Network Services,16/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,Moves & Changes,PINMTS 17929,"56,605.01",Network Services,16/07/2010,Cabinet Office
IRP - Improving Reach Programme,"Engage, The West Somerset Voluntary Sector Development Agency",http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Capacity Builders,Grant,3067,"37,498.00",Programmes,16/07/2010,Cabinet Office
IRP - Improving Reach Programme,Irish Traveller Movement in Britain,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Capacity Builders,Grant,2215,"34,848.00",Programmes,16/07/2010,Cabinet Office
IRP - Improving Reach Programme,Pendle Community Network Limited,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Capacity Builders,Grant,2165,"35,745.00",Programmes,16/07/2010,Cabinet Office
SEP - Social Enterprise Programme,Social Enterprise North West Limited,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Capacity Builders,Grant,2329,"32,820.00",Programmes,16/07/2010,Cabinet Office
SEP - Social Enterprise Programme,Social Enterprise South East,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Capacity Builders,Grant,2287,"31,250.00",Programmes,16/07/2010,Cabinet Office
Faststream recruitment,PARITY SOLUTIONS LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Other Staff Related Costs,3000011289,"36,357.35",ERG - CIVIL SERVICE CAPABILITY GROUP,19/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,System Manm't,PINMTS 17918,"40,377.65",Network Services,19/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,Data Services,PINMTS 17983,"114,317.50",Network Services,19/07/2010,Cabinet Office
Pension Policy Professional Services ,HEWITT ASSOCIATES LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Consultancy,3000011285,"32,828.09",SCHEME MANAGEMENT EXECUTIVE,19/07/2010,Cabinet Office
Civil contingencies resiliance issues,COI CENTRAL OFFICE OF INFORMATION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Supplies and Services,30000113010,"37,597.65",COMMUNICATION GROUP,20/07/2010,Cabinet Office
Expert advice for OGC's Centre for e-Auctions,PA CONSULTING SERVICES LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Consultants - Mgt - Non Advisory,86017,"69,085.01",ERG -  OGC,20/07/2010,Cabinet Office
Compliance Monitoring,DLA PIPER UK,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Other Staff Related Costs,3000011313,"35,000.00",INDEPENDENT OFFICES,20/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,Call Charges Std,PINMTS 17850,"45,820.53",Network Services,20/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,Peripherals,PINMTS 17900,"27,065.25",Network Services,20/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,Data Services,PINMTS 17986,"53,685.00",Network Services,20/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,Data Services,PINMTS 17987,"33,278.00",Network Services,20/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,Data Services,PINMTS 17988,"109,844.17",Network Services,20/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,Data Services,PINMTS 17989,"91,283.44",Network Services,20/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,Data Services,PINMTS 17992,"195,763.75",Network Services,20/07/2010,Cabinet Office
Treasury Solicitors Legal Advice,TREASURY SOLICITORS DEPT,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Supplies and Services,100896,"53,755.22",CENTRAL BUDGETS,21/07/2010,Cabinet Office
Cost of internal legal team staffed by Treasury Solicitor personnel,THE TREASURY SOLICITOR,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Consultancy - Legal -  Contracted out services,86042,"49,453.00",ERG -  OGC,22/07/2010,Cabinet Office
Monthly settlement of Government Procurement Card transactions,NATIONAL WESTMINSTER BANK PLC (4715059005000009),http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Nat West Corporate Card,86146,"38,857.61",ERG -  OGC,22/07/2010,Cabinet Office
2nd instalment 2010/2011 Strategic grant,CONSORTIUM OF LGB & T VCOS,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Resource Grants to Private Sector,3000011355,"31,519.00",ERG - OFFICE FOR CIVIL SOCIETY,22/07/2010,Cabinet Office
Local Authorities patrnership with social enterprises - social enterprise action research,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Resource Grants to Central Government Bodies,3000011356,"100,000.00",ERG - OFFICE FOR CIVIL SOCIETY,22/07/2010,Cabinet Office
Pensions Levey 2010 : Total Membership ,THE FINANCIAL REPORTING COUNCIL,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Consultancy,3000011361,"43,501.50",SCHEME MANAGEMENT EXECUTIVE,22/07/2010,Cabinet Office
2nd instalment Access to Volunteering grant 2010-11,CHARITIES AID FOUNDATION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Resource Grants to Private Sector,3000011376,"382,408.00",ERG - OFFICE FOR CIVIL SOCIETY,23/07/2010,Cabinet Office
Grassroots Grants - management fee,COMMUNITY DEVELOPMENT FOUNDATION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,GRANT FUND MANAGEMENT SERVICES,3000011378,"132,358.47",ERG - OFFICE FOR CIVIL SOCIETY,23/07/2010,Cabinet Office
v match fund,V,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Resource Grants to Private Sector,3000011391,"1,377,483.00",ERG - OFFICE FOR CIVIL SOCIETY,23/07/2010,Cabinet Office
Accommodation improvements,SAFE SSG,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Accommodation and Utilities,3000011388,"54,999.28",PRIME MINISTERS OFFICE,23/07/2010,Cabinet Office
"Monthly payment for contract for support, maintenance and development of e-PIMS, the government property database  ",CORPORATE DOCUMENT SERVICES LIMITED,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,IT support and maintenance recoverable,86173,"94,851.42",ERG -  OGC,26/07/2010,Cabinet Office
Fujitsu (Flex) Outsourced IT services,FUJITSU SERVICES,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Hire of Plant and Machines,3000011399,"181,656.17",IT AND TELECOMS BRANCH,26/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,SAP Rental,PINMTS 18000,"58,800.52",Network Services,26/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,SAP Rental,PINMTS 18005,"35,114.59",Network Services,26/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,SAP Rental,PINMTS 18006,"66,713.45",Network Services,26/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,SAP Rental,PINMTS 18007,"141,165.39",Network Services,26/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,SAP Rental,PINMTS 18008,"37,391.25",Network Services,26/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,SAP Rental,PINMTS 18009,"179,869.22",Network Services,26/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,Handsets,PINMTS 18009,"50,361.00",Network Services,26/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,SAP Rental,PINMTS 18010,"267,622.20",Network Services,26/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,SAP Rental,PINMTS 18011,"95,086.18",Network Services,26/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,SAP Rental,PINMTS 18013,"359,199.90",Network Services,26/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,Handsets,PINMTS 18013,"45,224.75",Network Services,26/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,SAP Rental,PINMTS 18014,"130,057.44",Network Services,26/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,SAP Rental,PINMTS 18018,"56,384.38",Network Services,26/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,SAP Rental,PINMTS 18020,"30,500.97",Network Services,26/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,SAP Rental,PINMTS 18023,"147,758.47",Network Services,26/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,Handsets,PINMTS 18023,"37,946.50",Network Services,26/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,SAP Rental,PINMTS 18025,"37,896.95",Network Services,26/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,SAP Rental,PINMTS 18026,"106,643.97",Network Services,26/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,SAP Rental,PINMTS 18028,"90,356.89",Network Services,26/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,SAP Rental,PINMTS 18031,"195,073.00",Network Services,26/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,Handsets,PINMTS 18031,"25,824.25",Network Services,26/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,SAP Rental,PINMTS 18032,"40,659.92",Network Services,26/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,SAP Rental,PINMTS 18033,"51,463.40",Network Services,26/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,SAP Rental,PINMTS 18036,"163,518.81",Network Services,26/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,SAP Rental,PINMTS 18037,"35,592.35",Network Services,26/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,SAP Rental,PINMTS 18039,"137,964.76",Network Services,26/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,SAP Rental,PINMTS 18043,"116,842.37",Network Services,26/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,Handsets,PINMTS 18043,"29,240.25",Network Services,26/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,SAP Rental,PINMTS 18047,"33,571.62",Network Services,26/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,SAP Rental,PINMTS 18048,"36,543.74",Network Services,26/07/2010,Cabinet Office
Payment for management of Queens Award for Voluntary Service,COI CENTRAL OFFICE OF INFORMATION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,GRANT FUND MANAGEMENT SERVICES,3000011422,"90,153.34",ERG - OFFICE FOR CIVIL SOCIETY,27/07/2010,Cabinet Office
